entity_id_1,relation_id,entity_id_2
135,92,237
237,90,805
238,9,806
239,0,807
239,2,808
240,2,809
240,0,810
241,93,239
239,15,807
242,2,811
242,94,812
242,94,813
242,2,814
243,95,242
244,96,815
244,0,816
244,97,817
245,2,818
246,0,247
247,5,246
246,15,248
248,11,246
249,2,363
250,98,819
250,0,251
251,2,277
251,99,733
251,100,820
251,18,821
252,0,254
252,0,822
253,2,252
254,82,252
255,2,823
198,3,824
256,0,257
257,82,825
258,0,44
138,15,173
259,5,260
259,5,261
155,11,260
259,21,826
260,73,826
259,21,827
261,73,827
259,17,828
262,17,829
263,17,830
264,101,265
265,2,266
266,102,831
267,5,832
268,0,833
269,2,138
269,0,147
269,82,733
158,18,733
270,18,733
271,18,733
272,0,834
198,21,273
273,0,274
274,18,733
198,5,835
198,3,275
275,82,836
276,57,275
250,44,837
277,103,838
277,11,834
249,104,278
278,5,279
279,105,138
138,0,173
280,15,281
281,0,280
280,15,282
282,0,280
283,15,284
284,15,283
285,15,286
286,0,285
286,0,287
287,0,285
288,15,284
284,15,288
289,15,284
284,15,289
284,0,290
290,0,284
291,59,349
292,19,293
293,106,839
293,106,840
293,106,841
294,19,295
295,106,842
295,106,843
296,19,297
297,106,844
205,11,298
208,11,298
207,11,298
298,5,299
299,0,300
300,2,767
301,11,304
302,11,304
303,11,304
304,5,305
305,0,306
306,2,841
307,5,309
308,5,309
309,73,310
310,2,845
311,5,316
312,5,316
313,5,316
314,5,316
315,5,316
316,107,317
317,2,846
318,11,847
318,0,848
319,11,847
319,0,848
320,11,847
320,0,848
321,11,300
321,0,849
322,11,300
322,0,849
323,11,300
323,0,849
324,5,325
325,0,326
326,17,850
325,35,851
325,108,327
327,109,852
325,2,138
328,110,853
329,0,147
147,2,138
330,5,854
330,15,855
331,2,138
331,0,856
331,18,733
138,21,147
249,5,332
249,2,857
332,111,333
333,111,334
334,111,335
335,112,370
336,44,858
336,2,859
337,44,858
337,2,859
338,44,858
338,2,859
339,44,860
339,2,186
340,44,860
340,2,186
341,44,860
341,2,186
342,44,860
342,2,186
343,5,344
192,5,344
344,113,345
345,114,861
344,115,767
291,5,348
346,5,348
156,5,348
347,5,348
348,114,862
348,115,767
291,5,293
349,5,293
293,115,657
350,11,863
351,2,864
352,11,865
353,11,865
107,21,865
354,21,865
355,18,351
356,18,351
357,0,866
358,0,866
359,0,866
138,0,147
147,5,360
360,15,361
361,97,867
147,11,331
362,5,363
363,0,147
147,0,138
363,15,868
364,116,869
365,117,385
366,118,657
367,119,870
366,120,657
267,121,871
267,122,871
267,35,872
267,123,162
160,124,369
368,125,160
368,126,873
369,127,417
335,5,370
370,128,335
370,2,371
371,5,372
372,129,373
373,130,374
374,131,874
374,131,875
372,132,375
375,133,372
376,5,876
377,0,877
377,11,878
378,11,878
379,134,879
380,135,880
381,2,881
381,0,882
381,0,173
382,5,883
382,44,884
382,38,885
382,38,886
382,38,887
383,5,888
267,5,353
353,0,889
267,2,384
384,5,385
385,57,353
353,15,386
386,5,387
387,17,388
388,122,387
387,121,267
267,35,890
389,17,891
390,136,391
391,17,892
390,5,392
392,137,393
393,0,394
394,5,395
395,5,396
396,5,233
395,5,893
394,138,397
397,5,894
390,5,398
398,5,399
399,0,400
400,5,401
401,5,402
402,5,403
403,5,404
404,5,405
405,0,406
406,5,407
407,5,408
408,5,409
409,5,410
410,0,411
411,5,412
412,0,413
413,0,402
402,0,414
414,139,8
8,5,415
415,5,44
44,5,416
416,5,895
417,2,896
417,0,147
364,11,883
417,15,897
417,15,898
353,17,899
353,0,267
353,1,467
353,2,900
418,22,419
419,54,138
420,17,422
421,17,422
422,73,423
423,2,901
424,17,425
425,73,426
426,73,902
427,17,431
428,17,431
429,17,431
430,17,431
431,73,432
432,73,903
343,17,344
192,17,344
344,0,904
418,22,147
147,54,138
433,0,434
434,5,435
435,17,905
436,11,435
437,0,438
438,5,906
438,5,409
438,5,784
438,5,907
438,5,908
439,5,440
440,17,441
441,5,727
440,5,442
442,17,441
442,5,909
442,5,910
442,5,911
443,5,415
415,17,444
444,5,727
415,5,445
445,17,444
445,5,909
445,5,910
445,5,727
445,5,912
445,5,913
445,5,914
445,5,915
445,5,916
445,5,917
445,5,918
446,17,445
446,5,919
446,5,920
446,5,149
446,5,921
446,5,922
446,5,233
198,44,923
447,15,924
447,2,448
448,57,925
449,11,448
450,17,449
451,17,449
195,9,456
452,9,456
453,9,457
454,9,457
322,9,457
455,9,457
456,5,195
456,5,452
457,5,453
457,5,454
457,5,322
457,5,455
458,17,456
459,17,457
138,5,926
147,0,926
385,11,138
460,0,138
461,0,462
462,15,927
463,11,464
464,82,928
465,0,368
465,15,929
368,5,466
466,21,355
465,122,377
377,2,467
467,5,468
468,140,930
465,141,508
469,0,931
267,2,384
470,11,932
471,0,933
471,0,934
472,102,473
473,0,474
474,18,475
475,11,138
138,2,476
476,57,935
477,142,936
478,143,479
479,144,937
479,144,938
480,0,386
481,5,386
482,2,939
481,11,482
483,15,481
484,44,940
485,21,482
481,97,482
386,56,483
486,17,483
487,17,486
488,11,941
488,11,942
488,11,943
488,145,944
489,11,945
490,0,173
490,63,198
491,11,160
492,146,946
492,102,947
493,0,492
169,11,160
169,0,173
494,15,492
495,147,494
496,5,352
496,5,497
352,148,948
497,149,949
496,2,498
498,58,950
498,58,951
499,58,500
499,58,501
500,150,160
501,150,160
496,58,181
496,58,502
496,58,503
496,58,504
496,58,505
181,151,952
181,151,953
502,151,954
502,151,955
503,151,956
503,151,957
504,151,958
504,151,959
505,151,960
505,151,961
418,22,147
147,22,138
147,54,491
147,61,733
506,152,507
507,22,962
507,54,963
508,141,509
509,15,964
510,15,165
511,15,510
512,17,389
389,11,965
512,2,249
249,5,966
512,21,513
513,0,967
512,153,514
514,0,967
515,2,366
516,2,366
517,0,516
518,11,517
519,0,517
520,21,519
138,5,521
521,56,173
173,18,522
522,19,138
523,57,524
524,2,968
525,57,526
526,2,969
527,57,528
528,2,970
529,57,971
530,57,972
531,73,971
532,73,972
533,73,971
534,73,972
535,5,536
535,44,973
536,0,973
537,57,536
537,57,973
538,5,539
538,44,974
539,0,974
540,2,533
540,11,533
541,5,975
542,44,544
542,2,543
543,21,976
544,57,542
544,15,543
544,82,977
545,11,544
546,11,978
547,11,978
548,11,978
549,11,978
535,11,978
550,11,978
551,0,552
552,2,979
489,11,980
489,5,980
489,154,553
553,15,981
553,15,173
553,0,554
553,0,555
554,95,982
554,95,981
555,95,982
555,95,981
489,155,983
556,9,984
557,9,984
558,73,984
533,73,558
559,9,985
560,9,985
561,73,985
562,9,986
563,9,986
564,9,986
565,9,986
566,73,986
567,9,987
567,2,988
568,156,987
569,9,573
570,9,573
571,9,573
569,2,989
570,2,989
571,2,989
572,157,989
533,158,989
573,15,990
574,9,991
575,9,991
576,9,991
577,9,991
578,9,991
579,9,991
580,9,991
581,9,991
582,9,992
583,9,992
584,159,991
585,159,992
586,5,991
587,5,992
533,159,991
533,159,992
588,9,993
589,159,993
588,9,993
590,160,993
591,9,597
592,9,597
593,9,597
594,9,597
595,159,597
596,160,597
597,0,993
598,11,602
599,11,602
600,11,602
601,11,602
602,73,603
603,5,994
602,73,995
604,11,605
605,73,606
606,5,996
605,73,997
607,11,998
608,11,998
609,11,998
610,5,998
611,11,999
612,11,999
613,11,999
614,11,999
615,11,999
616,5,999
617,5,999
523,11,524
618,11,524
619,5,524
620,5,524
621,44,1000
621,2,1001
622,44,1000
622,2,1001
623,44,1000
623,2,1001
624,44,1000
624,2,1001
625,44,1000
625,2,1001
626,44,1000
626,2,1001
627,44,1002
627,2,537
628,44,1002
628,2,537
629,9,1003
630,9,1003
631,9,1003
632,9,1003
633,9,1003
634,161,1003
635,162,1003
636,9,1004
637,9,1004
638,9,1004
639,9,1004
640,9,1004
641,9,1004
642,9,1004
643,161,1004
644,162,1004
44,163,1005
